	COPD-002	COPD-003	COPD-004	COPD-005	COPD-006	COPD-112	COPD-007	COPD-008	COPD-009	COPD-010	COPD-011	COPD-001	COPD-012	COPD-013	COPD-014	COPD-016	COPD-017	COPD-018	COPD-019	COPD-020	COPD-021	COPD-022	COPD-023	COPD-024	COPD-026	COPD-027	COPD-028	COPD-029	COPD-030	COPD-031	COPD-032	COPD-033	COPD-034	COPD-035	COPD-036	COPD-037	COPD-038	COPD-039	COPD-040	COPD-041	COPD-042	COPD-043	COPD-044	COPD-045	COPD-046	COPD-047	COPD-048	COPD-050	COPD-051	COPD-053	COPD-054	COPD-055	COPD-056	COPD-057	COPD-058	COPD-059	COPD-060	COPD-061	COPD-062	COPD-063	COPD-064	COPD-065	COPD-066	COPD-067	COPD-068	COPD-069	COPD-070	COPD-071	COPD-072	COPD-073	COPD-074	COPD-075	COPD-076	COPD-077	COPD-078	COPD-079	COPD-080	COPD-081	COPD-084	COPD-085	COPD-087	COPD-088	COPD-089	COPD-091	COPD-092	COPD-094	COPD-095	COPD-096	COPD-097	COPD-098	COPD-099	COPD-100	COPD-101	COPD-102	COPD-103	COPD-104	COPD-105	COPD-106	COPD-107	COPD-109	COPD-110	COPD-111
COPD-002	0.0	0.47341749951583356	0.6375383763625753	0.7145884397702646	0.6775456216934466	0.6624816069670381	0.4143401527623543	0.7611647242490593	0.6288264424159218	0.544045907146055	0.6964436650237317	0.7617978487223644	0.6619979279889331	0.8249436208853864	0.6687961576321104	0.4511582416564593	0.6569531480268359	0.44471613069713184	0.6339246717365097	0.6066803614571956	0.6934693554966819	0.6521071605427505	0.427034931980253	0.6020097103457521	0.47652353768327604	0.43440593763868657	0.6687175647823638	0.5280133492037384	0.5574898971069875	0.6626788615901189	0.48548728974158895	0.7890322361937385	0.6208421834700211	0.5783653358914979	0.49878425029604984	0.6853623266817239	0.3902036733712956	0.5232989524033383	0.601723335876762	0.6475005552513855	0.4514463216012334	0.6717127406313291	0.9241051633085197	0.9227491047181496	0.702418446916172	0.37178997228486155	0.859899567223349	0.4747806134442707	0.6087015846496164	0.5943309570917326	0.5374593658227443	0.6444474448340529	0.9127291211678366	0.6989956030201606	0.4635127427871261	0.4217061852458882	0.4994369093701191	0.754834666325943	0.6123459515125469	0.6622374283772262	0.6847609605554373	0.7680731553176562	0.3399405451135417	0.6895845356848994	0.5105062517483973	0.5710330534679384	0.6292900578712896	0.4278999972930269	0.6457850971443251	0.45003363350192904	0.8516235398586782	0.43211558608877243	0.5846185205015589	0.4487288694032463	0.7337630167332174	0.45365956767932514	0.3839104164484925	0.5617290298039175	0.5194085082301064	0.5857035215149984	0.32835715402178095	0.6815360046936524	0.8018496759267764	0.9263586149848603	0.4902910656633151	0.3901984466595207	0.5130196206461258	0.6433084067694196	0.6176511478742559	0.5708359027783466	0.8393775406140054	0.724273227560291	0.4181442605823869	0.5204704182891392	0.5770371203500408	0.6728936959818375	0.6694634935800416	0.4591431964840656	0.5665973395409151	0.534446619827115	0.497384740928551	0.5334059504874075
COPD-003	0.47341749951583356	0.0	0.7727557260136841	0.6319799888704987	0.7664984908907744	0.7626248724055447	0.47780389206395274	0.7863086806462246	0.7704912065751107	0.5884265907618935	0.8360670758693309	0.869488104862366	0.7660592452077206	0.8767044722914344	0.7393401513521103	0.6313658584873446	0.5405920249600384	0.6152800143311593	0.6351490031094467	0.7376063046923427	0.806544344798273	0.678611273232504	0.6428515491774819	0.7268274745121811	0.6838844092208912	0.4171010804361154	0.7682651553881068	0.4142087566748355	0.44148589098931906	0.7210278458680527	0.46083596425366613	0.8535512226252104	0.716690390803899	0.6986591564953492	0.5849844928141861	0.799974566217033	0.5631596609419142	0.4686902595385664	0.7385187235069087	0.5054427468366534	0.36554937870158566	0.7953870859837585	0.9451191987901956	0.9429806001721185	0.6926736148549352	0.43984773877186506	0.8799151207970112	0.5030444805258416	0.7248953769458993	0.7501013448654626	0.4639192910415025	0.7353811952463692	0.9278128557360227	0.7507309739610238	0.5422944725350292	0.5257711877040367	0.564684932364298	0.8269761124607059	0.4475557112366445	0.791724502071586	0.7379602508600478	0.8766030255480833	0.35882746345668753	0.8090064951552874	0.6652654644871645	0.5891505655660556	0.7000932933172291	0.37472491047091416	0.7302398586039105	0.4508938731524388	0.9037630772012447	0.399693804417816	0.6753353239373738	0.4466923959044519	0.8341591768161138	0.6297706480950647	0.5371779194660714	0.5352525952512198	0.6441757636696915	0.4617221395583407	0.41744664301444556	0.7156677336282197	0.8058955575455516	0.9462300499800794	0.6274840496545652	0.39665327644295323	0.528084884827023	0.6913879801907231	0.5102253766944012	0.4311431095192107	0.8609321840662097	0.5633652820459336	0.546111117770662	0.6568399825351233	0.3685130744051779	0.5619572105381947	0.731471558715456	0.4944464256377149	0.47038756237642143	0.3785834374804007	0.39798588431516446	0.4715291897734415
COPD-004	0.6375383763625753	0.7727557260136841	0.0	0.830261961289046	0.6861345128944679	0.5295685841911795	0.5747768148127234	0.514418557993927	0.6414209496101952	0.6173419366981291	0.520848853892433	0.6828586115781144	0.5581053113342277	0.7697800934344636	0.6651811581732345	0.574761365679558	0.8186954257310379	0.6248668500461358	0.8044400302280365	0.5328216324530038	0.5933028796116252	0.7072833858312219	0.6101082651410504	0.6333164242812013	0.6091824840270456	0.6618903108066421	0.7668044701323379	0.765401400241778	0.8552481332485832	0.750748667355363	0.694057609337205	0.5289177657707587	0.5225602418806791	0.7021581698156798	0.7050925117325849	0.5918144655324308	0.6258454152420888	0.7274317507239109	0.5432827884308343	0.8026783611564814	0.641163328290811	0.5921174457519964	0.7982922516738571	0.7550677653897861	0.7157589819906423	0.6331040840998936	0.7600781826119626	0.7263147622228796	0.6728128229714453	0.5511704015491893	0.6972438358688419	0.5844412618807279	0.8421574088178104	0.6960074210790188	0.7427237482401967	0.5839476521378533	0.6949547000361357	0.5440044731894943	0.8206453210662152	0.5950264350015968	0.6962959284246665	0.6809189185473822	0.66912913501141	0.5447994578271366	0.504558174142719	0.7398422144561054	0.6764714316036011	0.7119094018782749	0.5360602964863539	0.6845569173070937	0.672900242148401	0.6657328340011094	0.6096310525655707	0.6988314951535116	0.5966465423564381	0.48525190321613637	0.6496520040307507	0.7234376465565993	0.6257229368561705	0.7526174488769087	0.619688696663499	0.8182126157497752	0.7044329180786842	0.8026074905262663	0.6595207628745012	0.6944427274814056	0.6391591581396349	0.8491382988386336	0.795963817400526	0.7017733494645506	0.580549746491381	0.860391319529297	0.6502619373512398	0.6056833089131878	0.7681741286374936	0.861698470732983	0.5920112767994665	0.5916355801461329	0.760284860595936	0.7744432573354608	0.7798675287611491	0.7670480441953985
COPD-005	0.7145884397702646	0.6319799888704987	0.830261961289046	0.0	0.8218255690839947	0.768702487094224	0.6271913553375004	0.8330220108225176	0.8001580561637853	0.7137022774391515	0.9147495733597678	0.9222103676659327	0.8213348030030038	0.8463300127492221	0.8002360106013662	0.6811743307020469	0.5572971094844408	0.7266957378069164	0.751454089374476	0.7974050652096999	0.8485251517506062	0.6999383905207508	0.7190338624388904	0.8909650256487966	0.7700290839120641	0.7089663115850278	0.8149556111348659	0.4915221209994281	0.5517707920956882	0.815417479879888	0.7458010744684298	0.8622299716542302	0.7778326446789927	0.8416541080043153	0.6679066197007366	0.835623484118927	0.717861734194671	0.564870605985107	0.8183532039291675	0.4065288948110881	0.6696699242897165	0.8598702192173255	0.9498262362059567	0.9474196181514151	0.8642311973216421	0.6613875977062064	0.8850021722270426	0.766940483844302	0.7716091661739333	0.8195505495596759	0.5292981698406605	0.8065809204138735	0.9307102235451379	0.8101761365775381	0.7521306133361227	0.6408289694009882	0.7038075857124464	0.8065525208623714	0.5031559510704581	0.8757995255101833	0.8133203877150563	0.9277469632065474	0.6376851951346283	0.8421997177716223	0.7793224041808616	0.7157365035927749	0.7712269020948642	0.619593621694499	0.8253718415513296	0.583093822070954	0.9245977875492667	0.6144690709269807	0.8064360645170772	0.6349828162571398	0.8638342802434908	0.7310556214716124	0.677522533328818	0.5690066680045237	0.7828242786476871	0.602251204689421	0.6190731895068415	0.8258069176344626	0.8612235755807766	0.9504637495772262	0.8290530854246383	0.6414641464929954	0.6551509062966696	0.703866211203818	0.6464624517564521	0.5901942850630435	0.8791221152228963	0.4943419921892924	0.7374505895081577	0.83750135645666	0.5493466570539263	0.48357553532966996	0.7912151680172403	0.7117730754735578	0.6253702992793891	0.6164330236353949	0.5956275133999449	0.5417639060900469
COPD-006	0.6775456216934466	0.7664984908907744	0.6861345128944679	0.8218255690839947	0.0	0.5189835684529264	0.6991885137158403	0.5141838316878348	0.846933647038496	0.5425956957160857	0.6126253603992179	0.8333865468603443	0.4664498642767052	0.6800656755595212	0.8340998466814724	0.6105620302221869	0.7821581937919139	0.6588844444250364	0.7279845750688049	0.7138683375285955	0.8629720686710664	0.36268261772418087	0.6864991617180697	0.7532037722041559	0.6121155141683446	0.7567501744282656	0.7402146904366331	0.7754405630448273	0.7806211944517814	0.6760316402521732	0.7654870702539824	0.7454416645954882	0.4429042133164047	0.8373625651395312	0.7214789763144047	0.8460337808267003	0.7143234429256352	0.7489622602096476	0.8561936959528968	0.7911686713849003	0.6977779645187384	0.8755005375099548	0.5965964736575261	0.4539123751678996	0.8364170006309033	0.6645888188298801	0.6984068385820306	0.7257940403898123	0.7942383102024079	0.8768026415235917	0.7714440976167232	0.8568204663074637	0.7468644867951513	0.39130485737467485	0.7301193710502429	0.7432930467232702	0.7057642497576714	0.7264083798741036	0.8156518650467159	0.8251239372661202	0.8754616085977567	0.8250890884993848	0.7216366042464017	0.8603471573696944	0.7539419521651793	0.6667353199804341	0.7151119834741809	0.726807472119074	0.5316222282960262	0.7206312501377176	0.7187178287935924	0.6795897871289798	0.8358234768952529	0.7317576488478581	0.8422297399101325	0.4628852643767996	0.7173897296712897	0.7483617674532673	0.7734083404152299	0.7530770775257415	0.7036089151640189	0.7613682792733043	0.38655166509498695	0.6070275389637761	0.7501739556490872	0.7450130358249594	0.741066997936506	0.6062367928564318	0.811180813756484	0.7296892181723008	0.7090416098124565	0.80501151762332	0.6966077560476105	0.7898911440739464	0.7759481454858144	0.7869861325586336	0.7556698626597403	0.48891070346447274	0.7977219822260829	0.7722937943223959	0.7323614082650496	0.7652768221030849
COPD-112	0.6624816069670381	0.7626248724055447	0.5295685841911795	0.768702487094224	0.5189835684529264	0.0	0.680144825326593	0.34612783152860577	0.7128777431607963	0.5480600373095125	0.5782553774597402	0.8212657922471566	0.412788228168905	0.6694342669721017	0.6349843612140968	0.684559208454621	0.8198087150370004	0.7389929008075038	0.8452528431282729	0.6075532542616717	0.7454162339089603	0.49480347248210776	0.6975373303155696	0.7387888893488741	0.673779613640862	0.714911405073685	0.8176016502041618	0.7586170044248237	0.8062903097321875	0.7761996388570032	0.7279502962960849	0.6662374784706027	0.3895641922379023	0.7177216044472534	0.6950620643818538	0.7345232221851409	0.6526550612709839	0.7762067617014149	0.6534883414423733	0.756973302918064	0.6836301011041641	0.7400262747135793	0.6825907488693432	0.6018989143904171	0.7359121667965072	0.6635575908822735	0.7345478370862795	0.7267833639914801	0.6368158092660028	0.6348095824255453	0.768033323869273	0.6369295962954854	0.7832854346524744	0.5709419483200063	0.7463083788452675	0.7090757424845949	0.6758916158159678	0.6234441605324138	0.7861405511982844	0.7190637533897808	0.6948570117948261	0.8171533265575079	0.701181876368108	0.7162025629008146	0.5632075213234732	0.7628027114901221	0.7363369795988105	0.7526934608845419	0.5383077187354418	0.6636364761377626	0.7106383037126041	0.6513657620071438	0.6548268680310387	0.7041908104783732	0.7556538106893147	0.5210496345936845	0.6732488699243189	0.754221352011694	0.6938565347858826	0.7133458370171218	0.6731510603742873	0.8064878695135302	0.4611119786392892	0.6859323405638305	0.6715490222908183	0.6900793479695118	0.7590834178387234	0.7364747961777275	0.7710977261126222	0.7040129603524451	0.6046148919271523	0.8259120906210244	0.6923725482917534	0.6605154133226852	0.7490018732014339	0.8294606117970332	0.597252622354691	0.4782792155679674	0.7823821248897395	0.7176816939810545	0.7924636926272397	0.798126631222451
COPD-007	0.4143401527623543	0.47780389206395274	0.5747768148127234	0.6271913553375004	0.6991885137158403	0.680144825326593	0.0	0.7080118933221049	0.6386780577867325	0.5526960928282428	0.7294346832518057	0.7640481641583046	0.7048335818499297	0.8458715783084545	0.6267386455008399	0.491811017157292	0.5664132497136781	0.4765258144653395	0.6116137170448706	0.6052704177293465	0.6888089160334998	0.6152850261311414	0.45252341730856316	0.6776135214635393	0.552435610994511	0.39663566337715295	0.660930542204989	0.5023118467631158	0.5814931329573251	0.6319070344233533	0.54007260925991	0.7943054737016836	0.6410757361234216	0.6924782255206117	0.5146680659537443	0.6826000921172933	0.45821552596020937	0.40905269864260774	0.5856384940326257	0.5475812735049912	0.4679348323563612	0.6668781373944052	0.9279911914310969	0.9272399870720497	0.7468264329925007	0.3946560507738678	0.855827350560413	0.5618063519185446	0.5878407690001778	0.5783920414491716	0.4155180595178837	0.6051786083884942	0.9136142388951694	0.7222389103338281	0.509023477565688	0.29622262616000405	0.5099856473247382	0.7568863002424407	0.5585295261549698	0.6512905142128719	0.7082262578064655	0.7853676697322608	0.3581770684059631	0.6684328481749268	0.5568708646808753	0.5333001788604552	0.6257622054895343	0.3477490731353677	0.6828422089074055	0.4252101505122803	0.8553427945118612	0.41946860850604273	0.638679279647602	0.4486818908909264	0.7351062801894808	0.5582429639349683	0.46875647280609234	0.48797637242259456	0.5294301843811943	0.4335021767051356	0.27291544076585744	0.7115388745042698	0.8297334066260034	0.9295689075702638	0.6343828371027801	0.4286314498104315	0.3328964007096686	0.6139482859134499	0.5720054168156452	0.4382871545224899	0.815532895048757	0.6511055420905032	0.4921669952582921	0.6425031448485444	0.525920206679306	0.6254145205315621	0.6313973828878962	0.523652938611286	0.48147465971148035	0.49167982998935406	0.4539863447701064	0.4404225411941719
COPD-008	0.7611647242490593	0.7863086806462246	0.514418557993927	0.8330220108225176	0.5141838316878348	0.34612783152860577	0.7080118933221049	0.0	0.7046915502427085	0.6077778149994715	0.5680280213481768	0.7592253741653453	0.4345963518802929	0.6236407689461234	0.61371749029516	0.6656256845101121	0.8466875944741906	0.7036370228710795	0.8250720051630434	0.655751116680983	0.6662635495379539	0.4268815361810428	0.6910248724341628	0.7356428434194885	0.6987755439945772	0.738294753349018	0.8029459813501749	0.8150988374815624	0.8310350115358129	0.7145567610990807	0.77177290970163	0.6110074849274296	0.317974949081873	0.7529007053076652	0.711530902652872	0.6836164484328797	0.6964005460111404	0.8255058497271778	0.6396569162686279	0.7648051873605239	0.729431284071665	0.6654722756834768	0.6269738475333066	0.5051476407591247	0.7586065489240149	0.7349703821417948	0.7043435096930052	0.7575208294295581	0.6252105530158861	0.6335250891034275	0.7281391431467965	0.6037440885648797	0.7513303176365039	0.6020630112439218	0.799750901020925	0.6939119808962603	0.7594222112190501	0.5969901645503032	0.7830766932594091	0.6194787652617747	0.6640781016972025	0.7516920881830039	0.764589511213606	0.6388745311164523	0.5833965855678219	0.7345155768426193	0.6621837984693024	0.803827581895579	0.4847473812898253	0.7629766418977763	0.6507538331253684	0.712470193932675	0.643592591743105	0.7737464719363678	0.7031937945863521	0.5327268332006925	0.7221818025746153	0.7602036524036293	0.6533001539480219	0.7409916032558482	0.7366009906304521	0.8395500595002846	0.4229588537223445	0.6335508485487775	0.7510868086382896	0.7490724144005814	0.6662748064594811	0.7534168654079879	0.7916866301879545	0.6770384387634658	0.5132947931948838	0.852504233442209	0.687985077583792	0.7438696424268924	0.8323027778544415	0.8313843785385503	0.6278366523052904	0.5409829137904254	0.7690360481092583	0.8081879754318823	0.8183162885910388	0.8360592581985575
COPD-009	0.6288264424159218	0.7704912065751107	0.6414209496101952	0.8001580561637853	0.846933647038496	0.7128777431607963	0.6386780577867325	0.7046915502427085	0.0	0.8098284470722699	0.6381768631122875	0.4037848273789705	0.7134655698365444	0.7360112466182192	0.6236132644901328	0.6196018254425023	0.8188006458685673	0.5227209387356736	0.745906778152683	0.49908376521371345	0.3948730842814472	0.747917175651107	0.5579733143180862	0.5048627152993853	0.4786759949995152	0.7756180589303087	0.7795266731518702	0.7564525386389572	0.7678519319435793	0.7484532607498804	0.7193514416788693	0.6051586601856539	0.7182726141510059	0.4983454765487428	0.7562008885019552	0.41725717801600454	0.6702186327001359	0.6826648207351972	0.44861028329578884	0.7896072680156314	0.7281768579320357	0.3665152832217672	0.8494640356551107	0.8501661245244324	0.7263280700997921	0.661227923375914	0.7720442306305665	0.6569776254092332	0.5998083466884226	0.43171977085959096	0.6256559994184251	0.4482427898186466	0.8281996398724406	0.8370871533208709	0.7427330015153972	0.6403363570559824	0.7840194262849688	0.6438209317940563	0.8018902796098776	0.569746681451207	0.7243894890722842	0.5352994099957993	0.6892150969411787	0.521597274546917	0.5924178732614248	0.6645217521632858	0.6788703895921833	0.6498977159827551	0.6361833977217342	0.6957871728666852	0.7271663334141578	0.7040234754367389	0.5685045105299008	0.7451919092878225	0.4656614771168696	0.6821538152264544	0.6050432455217657	0.707709354381729	0.5886762546299629	0.7927462027118407	0.600961385343707	0.83183827017699	0.7774022065975259	0.8461349646442918	0.6447117154152324	0.7531413898791404	0.620555687344598	0.790273079146597	0.818887697980464	0.7172996501494455	0.7995644230014733	0.8524799140035758	0.6300824441595446	0.5118578840797102	0.7680742844233519	0.7408342150019104	0.6499290502414488	0.7736527044739412	0.7797583836041533	0.8152836775839797	0.673885940920519	0.7301836892014756
COPD-010	0.544045907146055	0.5884265907618935	0.6173419366981291	0.7137022774391515	0.5425956957160857	0.5480600373095125	0.5526960928282428	0.6077778149994715	0.8098284470722699	0.0	0.7104605065782035	0.881241575024944	0.5396776170022325	0.795384824452485	0.7628852738578797	0.5315525826648657	0.6786330200793975	0.6379409309087535	0.7337672641579019	0.6681407481057196	0.8185381989739424	0.527856201185649	0.6033064691205446	0.7228192840874275	0.6506090253476049	0.5515279610285166	0.6733569168614709	0.6939380405280038	0.7621944060980643	0.7118422659213264	0.6002476968919163	0.7456606832458883	0.5030586539981835	0.833806780623451	0.6190134624795295	0.8267323821187862	0.6289388211268768	0.6925962572688419	0.7688610642865534	0.7169967255183965	0.5150726221015495	0.8346774011609289	0.8252001315829353	0.7737140334096627	0.7084437190605468	0.5446924398005643	0.8125338606255915	0.5846875126851061	0.7251433848604815	0.78215201387219	0.7102138068664033	0.7800001622034897	0.8655867310805102	0.5542809339511716	0.5389951682503998	0.5894549130739029	0.5619708676871652	0.7248709996603294	0.7514544446230759	0.8116931010632683	0.7932589106846962	0.8583102302864009	0.5938561751020607	0.8182304911162835	0.6866832170595736	0.6704854957961103	0.7123268498641133	0.662692003171223	0.5932254743480022	0.6326782588473878	0.7678162357209016	0.5832408052353416	0.776501196766422	0.543189153243251	0.8279342813281385	0.4487007225344901	0.6340414309031505	0.6399377149042171	0.7210216836263805	0.5808452933869034	0.6063980151956183	0.6490326391671565	0.6650366785498477	0.828513795118885	0.7223993577395844	0.5662414434791343	0.6735314888448052	0.6734033568656659	0.7195690615682864	0.6478635697034016	0.6895946113205061	0.7554293652159682	0.6431323402738526	0.7873837422372972	0.5615634477832327	0.760632986243636	0.6930009087482191	0.3465839901998221	0.6636412577388997	0.5121069912486944	0.7437407302355002	0.7059774265686636
