SampleID	faith_pd	observed_otus	shannon	pielou_e
COPD-002	7.47238108	91	3.851398459	0.591813152
COPD-003	5.723955657	65	4.54577998	0.754816066
COPD-004	6.494986659	59	3.531659374	0.600352485
COPD-005	6.480912873	60	2.750393671	0.465624617
COPD-006	5.637838797	49	2.101109269	0.374215111
COPD-112	5.820294959	52	3.114107623	0.546292528
COPD-007	7.020039281	75	3.862171259	0.620048753
COPD-008	3.857888074	27	2.299964539	0.483705353
COPD-009	2.653758251	19	2.491884554	0.586611835
COPD-010	10.01251283	116	4.486037016	0.654133778
COPD-011	3.605558228	31	1.71561385	0.346295089
COPD-001	3.018947529	17	0.635121513	0.155382822
COPD-012	5.651530623	49	2.359071877	0.420159179
COPD-013	3.868498622	34	0.77838547	0.153000719
COPD-014	4.39052539	31	2.93291399	0.59200601
COPD-016	8.050058199	85	4.346021614	0.678070921
COPD-017	7.321525319	74	4.605484179	0.741689148
COPD-018	3.768059031	21	1.930080269	0.439421855
COPD-019	3.334209003	21	2.438500387	0.55517399
COPD-020	5.943767278	49	3.790652304	0.675128797
COPD-021	1.832290635	16	1.036078867	0.259019717
COPD-022	2.950768438	21	2.094338494	0.476818566
COPD-023	3.969439791	36	2.848855375	0.55104385
COPD-024	6.854642036	65	1.23343927	0.204809687
COPD-026	5.151124609	53	2.040504672	0.356238305
COPD-027	7.452079376	81	4.344983568	0.685344853
COPD-028	7.555872243	56	3.190969193	0.549470324
COPD-029	4.817652086	35	2.895181884	0.564441828
COPD-030	4.086202446	33	2.918724731	0.578607591
COPD-031	1.290641463	9	1.546887144	0.487988562
COPD-032	4.732872298	34	4.35202647	0.855441426
COPD-033	2.081737313	10	2.163158128	0.651175482
COPD-034	5.51445229	47	2.505443416	0.451058302
COPD-035	4.376203069	39	2.740315621	0.518468701
COPD-036	7.684946746	72	4.676986755	0.758029758
COPD-037	4.908450413	36	1.499549888	0.290052542
COPD-038	5.354886927	64	4.684045515	0.780674252
COPD-039	4.489249556	40	3.068766988	0.576626917
COPD-040	2.644530903	24	3.097755316	0.67563373
COPD-041	3.532242388	34	2.556052948	0.50242194
COPD-042	5.579462702	61	4.46473872	0.75281343
COPD-043	2.321720457	15	1.643411773	0.420644431
COPD-044	1.256863633	5	0.0400335	0.01724149
COPD-045	1.455401104	10	0.185354909	0.055797387
COPD-046	5.269790156	38	3.06140363	0.583354786
COPD-047	5.984037203	77	4.532594776	0.723272565
COPD-048	3.619404515	21	0.583985594	0.132956145
COPD-050	3.672781581	29	3.067238373	0.631381304
COPD-051	5.283253448	43	2.581351061	0.475714175
COPD-053	2.954864618	27	3.268496259	0.68739718
COPD-054	3.639441467	38	3.100121929	0.590732612
COPD-055	2.324988421	18	2.226891684	0.534036387
COPD-056	1.185596623	7	0.204329283	0.072783559
COPD-057	6.394837937	56	2.065539481	0.355676467
COPD-058	8.641567777	78	4.276653261	0.680410436
COPD-059	6.511841539	70	4.233484454	0.690698152
COPD-060	6.839562195	69	4.813865934	0.788057078
COPD-061	4.420397144	35	3.189029043	0.621729983
COPD-062	3.226314552	20	2.417537112	0.559365417
COPD-063	3.274039662	22	1.367695108	0.306697181
COPD-064	5.896396175	46	2.623155505	0.474902884
COPD-065	1.332465229	5	0.91200265	0.392778162
COPD-066	7.89250789	91	4.893742506	0.751981705
COPD-067	3.282389722	32	2.567785939	0.513557188
COPD-068	5.827354164	52	4.274159614	0.749794722
COPD-069	3.209498013	18	2.071214636	0.496703091
COPD-070	4.570220003	31	2.665875091	0.538104452
COPD-071	8.071151012	82	3.87248484	0.609115716
COPD-072	4.644413665	37	3.539454481	0.679429152
COPD-073	5.052284687	46	3.831950871	0.693746337
COPD-074	2.220052958	14	1.212112825	0.31836087
COPD-075	5.702169749	42	3.7474381	0.694958736
COPD-076	4.658839351	40	3.121356283	0.586508541
COPD-077	8.27897505	85	4.953141689	0.772794442
COPD-078	1.373842969	14	2.129494672	0.559310785
COPD-079	6.568132866	64	3.012491693	0.502081949
COPD-080	5.702905107	59	4.295991051	0.730282462
COPD-081	4.727331987	41	4.048632992	0.75568711
COPD-084	4.322127538	37	3.498597286	0.671586257
COPD-085	7.93320369	72	4.340606443	0.703510406
COPD-087	6.065288079	69	3.975617256	0.650831029
COPD-088	7.698849019	58	3.821632364	0.652380465
COPD-089	3.622825295	31	1.648400641	0.332728164
COPD-091	0.979288315	10	0.073706452	0.022187853
COPD-092	6.915476281	61	3.26888558	0.551176927
COPD-094	6.346861384	76	4.931210446	0.789255387
COPD-095	4.280019087	31	3.455426561	0.697474695
COPD-096	2.991917646	17	1.507515166	0.368814403
COPD-097	4.143083604	29	2.617934116	0.538893445
COPD-098	4.917746029	36	2.755750718	0.533034951
COPD-099	2.23031945	10	1.621363411	0.488079021
COPD-100	3.056638976	22	1.71231475	0.383976008
COPD-101	4.655900632	41	3.086272571	0.576060217
COPD-102	5.495617534	39	2.982517084	0.564293305
COPD-103	7.118293817	73	3.723972387	0.6016281
COPD-104	4.857412475	37	2.397353787	0.460192964
COPD-105	4.910674882	37	2.523539183	0.484415351
COPD-106	7.446065294	76	3.908224667	0.625523369
COPD-107	4.831467535	31	3.764096024	0.759779344
COPD-109	8.063728079	76	4.451359277	0.712453732
COPD-110	4.329039286	26	2.028520626	0.431559758
COPD-111	5.91393652	60	3.242772191	0.548981251
